Model,MSE,RMSE,RMSLE,R2
LGBM_ST,9.668638902458296,3.109443503660791,0.46108876301882235,0.028190627440275007
CatBoost_ST,9.769823619296552,3.1256717068970237,0.46291000682525996,0.018020400050955843
ANN_ST,9.699868202209473,3.1144611415475185,0.4523765038209423,0.025051653385162354
LGBM_SF,9.067976322467743,3.0113080749846475,0.4429314568842636,0.016479367047119275
CatBoost_SF,9.183758965284365,3.0304717397270617,0.4460883846937297,0.003921480469293082
ANN_SF,8.99598503112793,2.9993307638751565,0.4360947520163549,0.02428758144378662
