瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),乞闭 惑措嚼档(%)
143,措备,2019-01-01,-.6,49.3
143,措备,2019-01-02,-.5,39.3
143,措备,2019-01-03,0,30.1
143,措备,2019-01-04,.9,38
143,措备,2019-01-05,2.4,38.3
143,措备,2019-01-06,.6,29.9
143,措备,2019-01-07,1.2,38.3
143,措备,2019-01-08,1.2,38
143,措备,2019-01-09,-1.3,33.6
143,措备,2019-01-10,1.7,41.5
143,措备,2019-01-11,3,54.6
143,措备,2019-01-12,3.1,88.1
143,措备,2019-01-13,1.8,79.1
143,措备,2019-01-14,2,63
143,措备,2019-01-15,2.6,51.8
143,措备,2019-01-16,-1.9,34.9
143,措备,2019-01-17,1.5,47
143,措备,2019-01-18,2.5,45.6
143,措备,2019-01-19,4.5,46.1
143,措备,2019-01-20,3.4,39.3
143,措备,2019-01-21,1.9,38.5
143,措备,2019-01-22,3.9,45.9
143,措备,2019-01-23,4.2,41.1
143,措备,2019-01-24,2.8,29.3
143,措备,2019-01-25,1.1,35.9
143,措备,2019-01-26,-.3,25.1
143,措备,2019-01-27,.7,34.5
143,措备,2019-01-28,3.1,35.8
143,措备,2019-01-29,1.6,39.9
143,措备,2019-01-30,5.2,34.1
143,措备,2019-01-31,1.4,66.1
143,措备,2019-02-01,0,44.8
143,措备,2019-02-02,3,51
143,措备,2019-02-03,5,85.5
143,措备,2019-02-04,4.1,28.9
143,措备,2019-02-05,3.3,41.3
143,措备,2019-02-06,6.6,40
143,措备,2019-02-07,3.9,41
143,措备,2019-02-08,-.1,26.6
143,措备,2019-02-09,.2,22.5
143,措备,2019-02-10,1,29.3
143,措备,2019-02-11,.6,27.8
143,措备,2019-02-12,1.5,37.4
143,措备,2019-02-13,2.6,28.3
143,措备,2019-02-14,2.1,52.1
143,措备,2019-02-15,4.1,54.4
143,措备,2019-02-16,1,45.9
143,措备,2019-02-17,1.8,31.6
143,措备,2019-02-18,4.9,27.3
143,措备,2019-02-19,3.6,87
143,措备,2019-02-20,3.8,57.4
143,措备,2019-02-21,3.7,60.1
143,措备,2019-02-22,6,54.3
143,措备,2019-02-23,5.6,65
143,措备,2019-02-24,6.9,56.1
143,措备,2019-02-25,9.2,48.5
143,措备,2019-02-26,8.1,51.8
143,措备,2019-02-27,9.1,67.9
143,措备,2019-02-28,9,60.9
143,措备,2019-03-01,8.4,43.3
143,措备,2019-03-02,8,57.9
143,措备,2019-03-03,10,53
143,措备,2019-03-04,10.9,49.8
143,措备,2019-03-05,10.1,52.6
143,措备,2019-03-06,11.2,49.8
143,措备,2019-03-07,8.7,55.5
143,措备,2019-03-08,8.5,52.5
143,措备,2019-03-09,10.9,46
143,措备,2019-03-10,8.5,76
143,措备,2019-03-11,8.2,69.3
143,措备,2019-03-12,8.4,55.8
143,措备,2019-03-13,5.3,30
143,措备,2019-03-14,6.8,30.1
143,措备,2019-03-15,6.8,52
143,措备,2019-03-16,7.6,48.4
143,措备,2019-03-17,8.5,42.9
143,措备,2019-03-18,9,49.6
143,措备,2019-03-19,13.5,43.6
143,措备,2019-03-20,12.6,61.4
143,措备,2019-03-21,13.5,61.8
143,措备,2019-03-22,7.2,40.4
143,措备,2019-03-23,6,42.9
143,措备,2019-03-24,6.6,39.4
143,措备,2019-03-25,9.3,41.5
143,措备,2019-03-26,11.7,44
143,措备,2019-03-27,15,35.1
143,措备,2019-03-28,12.1,61.6
143,措备,2019-03-29,12.5,60.3
143,措备,2019-03-30,9.2,60.4
143,措备,2019-03-31,6.7,39.6
143,措备,2019-04-01,7.1,34.6
143,措备,2019-04-02,8.1,34.1
143,措备,2019-04-03,9.8,26.3
143,措备,2019-04-04,13.1,21.9
143,措备,2019-04-05,15.2,26.5
143,措备,2019-04-06,15.6,25.6
143,措备,2019-04-07,13.1,57.1
143,措备,2019-04-08,13.1,44
143,措备,2019-04-09,9.1,59.3
143,措备,2019-04-10,7.9,78.5
143,措备,2019-04-11,10.5,64.1
143,措备,2019-04-12,12.8,49.8
143,措备,2019-04-13,13.3,45.3
143,措备,2019-04-14,12.5,44.4
143,措备,2019-04-15,14.2,28.3
143,措备,2019-04-16,17,26.1
143,措备,2019-04-17,18,33.8
143,措备,2019-04-18,19,45.4
143,措备,2019-04-19,12,59.3
143,措备,2019-04-20,17.1,48.6
143,措备,2019-04-21,19.4,52.6
143,措备,2019-04-22,17.5,59.9
143,措备,2019-04-23,16,73
143,措备,2019-04-24,18.1,86.4
143,措备,2019-04-25,14.1,67.8
143,措备,2019-04-26,10.1,89.1
143,措备,2019-04-27,12.6,56.5
143,措备,2019-04-28,13.4,56
143,措备,2019-04-29,10.8,88.8
143,措备,2019-04-30,14.6,82.6
143,措备,2019-05-01,17.9,54.3
143,措备,2019-05-02,19,39.4
143,措备,2019-05-03,19.3,40.5
143,措备,2019-05-04,20.3,49
143,措备,2019-05-05,21.6,41.5
143,措备,2019-05-06,15.1,49.1
143,措备,2019-05-07,15.6,42.6
143,措备,2019-05-08,17.8,31.5
143,措备,2019-05-09,20.1,24.9
143,措备,2019-05-10,21.1,28.5
143,措备,2019-05-11,21.6,36.5
143,措备,2019-05-12,18.5,48.4
143,措备,2019-05-13,19.6,55.4
143,措备,2019-05-14,22.8,55.1
143,措备,2019-05-15,22.7,56.3
143,措备,2019-05-16,23.2,48.5
143,措备,2019-05-17,22.5,45.1
143,措备,2019-05-18,18.1,83.6
143,措备,2019-05-19,19.6,82.4
143,措备,2019-05-20,18.8,56.9
143,措备,2019-05-21,18.6,35.6
143,措备,2019-05-22,21.4,33.5
143,措备,2019-05-23,23.2,39.5
143,措备,2019-05-24,25.5,43.6
143,措备,2019-05-25,25.9,38.4
143,措备,2019-05-26,25.5,37.3
143,措备,2019-05-27,21,75.9
143,措备,2019-05-28,19.5,43
143,措备,2019-05-29,22.5,35.5
143,措备,2019-05-30,23.2,32.8
143,措备,2019-05-31,19.9,58
143,措备,2019-06-01,21.3,46.5
143,措备,2019-06-02,23.2,46.1
143,措备,2019-06-03,25.4,44.8
143,措备,2019-06-04,27.1,46.4
143,措备,2019-06-05,27.4,41.4
143,措备,2019-06-06,24.3,60.3
143,措备,2019-06-07,18.5,95.4
143,措备,2019-06-08,21.1,71.1
143,措备,2019-06-09,18.6,70.9
143,措备,2019-06-10,19,63.9
143,措备,2019-06-11,19.4,63.9
143,措备,2019-06-12,21.1,60.5
143,措备,2019-06-13,22.9,55.3
143,措备,2019-06-14,20.2,68.6
143,措备,2019-06-15,21.3,75
143,措备,2019-06-16,20.8,71.4
143,措备,2019-06-17,24,57.1
143,措备,2019-06-18,24.1,60.1
143,措备,2019-06-19,24.6,60.1
143,措备,2019-06-20,26.8,54
143,措备,2019-06-21,25.5,62.4
143,措备,2019-06-22,21.5,62.4
143,措备,2019-06-23,21.5,61.4
143,措备,2019-06-24,23.1,62.4
143,措备,2019-06-25,25,61.8
143,措备,2019-06-26,19.7,91.5
143,措备,2019-06-27,24.4,87.4
143,措备,2019-06-28,23.6,86.5
143,措备,2019-06-29,21.5,95.4
143,措备,2019-06-30,25.7,74.8
143,措备,2019-07-01,24.3,77.6
143,措备,2019-07-02,25.2,61.3
143,措备,2019-07-03,24.8,67.1
143,措备,2019-07-04,26.4,59.9
143,措备,2019-07-05,26.4,61.9
143,措备,2019-07-06,24,69.5
143,措备,2019-07-07,22.9,65.3
143,措备,2019-07-08,22.3,68.8
143,措备,2019-07-09,21.6,73.3
143,措备,2019-07-10,21.4,86.9
143,措备,2019-07-11,24.4,82.4
143,措备,2019-07-12,25.3,64.6
143,措备,2019-07-13,24.4,72.8
143,措备,2019-07-14,24.6,73.9
143,措备,2019-07-15,23.2,82.3
143,措备,2019-07-16,24.6,78.8
143,措备,2019-07-17,25,75
143,措备,2019-07-18,24.1,85.8
143,措备,2019-07-19,24.2,96.3
143,措备,2019-07-20,24.6,98.3
143,措备,2019-07-21,25.7,91.5
143,措备,2019-07-22,28.5,76.1
143,措备,2019-07-23,29.5,73.6
143,措备,2019-07-24,28.1,74.5
143,措备,2019-07-25,27.5,87.5
143,措备,2019-07-26,29.1,74.5
143,措备,2019-07-27,28.1,84.6
143,措备,2019-07-28,29.3,72.9
143,措备,2019-07-29,29.4,69.9
143,措备,2019-07-30,30.4,67.1
143,措备,2019-07-31,31,64.5
143,措备,2019-08-01,31.1,65.3
143,措备,2019-08-02,31.6,64.6
143,措备,2019-08-03,29.5,68.6
143,措备,2019-08-04,30.3,67.1
143,措备,2019-08-05,29.9,64.1
143,措备,2019-08-06,26.3,82.1
143,措备,2019-08-07,28.4,80.3
143,措备,2019-08-08,28.7,76
143,措备,2019-08-09,29.8,72.5
143,措备,2019-08-10,28.8,73.9
143,措备,2019-08-11,29.7,66
143,措备,2019-08-12,30,68.8
143,措备,2019-08-13,29.4,72.3
143,措备,2019-08-14,29.1,72
143,措备,2019-08-15,27.3,87.6
143,措备,2019-08-16,28.7,68.5
143,措备,2019-08-17,28.9,62.5
143,措备,2019-08-18,28.5,60.5
143,措备,2019-08-19,26.9,72.9
143,措备,2019-08-20,26.9,68
143,措备,2019-08-21,26,84.9
143,措备,2019-08-22,26.2,87.5
143,措备,2019-08-23,26.4,62.8
143,措备,2019-08-24,23.4,74.9
143,措备,2019-08-25,24.8,71.6
143,措备,2019-08-26,25.4,71.8
143,措备,2019-08-27,22.5,95.1
143,措备,2019-08-28,23.6,94.4
143,措备,2019-08-29,23.3,94.1
143,措备,2019-08-30,24.5,72.9
143,措备,2019-08-31,23.9,72.3
143,措备,2019-09-01,21.9,89.9
143,措备,2019-09-02,20.8,97.1
143,措备,2019-09-03,21.6,95.9
143,措备,2019-09-04,24.1,91.4
143,措备,2019-09-05,25.5,87.5
143,措备,2019-09-06,26.7,81.3
143,措备,2019-09-07,27.1,74.3
143,措备,2019-09-08,26,76.5
143,措备,2019-09-09,26.8,79.3
143,措备,2019-09-10,27.4,70.8
143,措备,2019-09-11,25.3,74.6
143,措备,2019-09-12,20.2,87.8
143,措备,2019-09-13,21.5,75.5
143,措备,2019-09-14,23,73.3
143,措备,2019-09-15,23.9,74.5
143,措备,2019-09-16,21.9,66.8
143,措备,2019-09-17,21,65.4
143,措备,2019-09-18,22.5,61.6
143,措备,2019-09-19,20.9,61.6
143,措备,2019-09-20,19.8,69.6
143,措备,2019-09-21,18.5,91.5
143,措备,2019-09-22,18.1,91.3
143,措备,2019-09-23,19.1,74.5
143,措备,2019-09-24,19.1,71.1
143,措备,2019-09-25,19,73.3
143,措备,2019-09-26,21.6,76.6
143,措备,2019-09-27,22.2,80.8
143,措备,2019-09-28,23.2,88.1
143,措备,2019-09-29,24.9,75.3
143,措备,2019-09-30,23.6,79.3
143,措备,2019-10-01,22.8,91.3
143,措备,2019-10-02,21.8,98.3
143,措备,2019-10-03,23.2,80.1
143,措备,2019-10-04,22.1,80.5
143,措备,2019-10-05,21.4,73.9
143,措备,2019-10-06,17.5,62.1
143,措备,2019-10-07,15.4,92.9
143,措备,2019-10-08,18,59.3
143,措备,2019-10-09,14.8,53.5
143,措备,2019-10-10,16.4,64.5
143,措备,2019-10-11,18.9,64.1
143,措备,2019-10-12,19.2,53.8
143,措备,2019-10-13,16,63.6
143,措备,2019-10-14,16.6,66.4
143,措备,2019-10-15,14.1,75.5
143,措备,2019-10-16,13.5,76.8
143,措备,2019-10-17,14,79.5
143,措备,2019-10-18,14.7,93.4
143,措备,2019-10-19,17.2,79.6
143,措备,2019-10-20,15.6,81.9
143,措备,2019-10-21,15.5,79.6
143,措备,2019-10-22,16,77.1
143,措备,2019-10-23,16.4,76.8
143,措备,2019-10-24,17.9,71.4
143,措备,2019-10-25,19.2,60.1
143,措备,2019-10-26,15.5,53
143,措备,2019-10-27,12.3,51.1
143,措备,2019-10-28,11.6,66.3
143,措备,2019-10-29,14.3,60.8
143,措备,2019-10-30,13.5,53.6
143,措备,2019-10-31,14.1,67.1
143,措备,2019-11-01,15.3,69.6
143,措备,2019-11-02,14.2,78.3
143,措备,2019-11-03,14.6,79.5
143,措备,2019-11-04,13.4,69.5
143,措备,2019-11-05,12.4,70.8
143,措备,2019-11-06,12.5,66.9
143,措备,2019-11-07,13,57.4
143,措备,2019-11-08,10.2,52.3
143,措备,2019-11-09,9.4,55.6
143,措备,2019-11-10,9.4,70.9
143,措备,2019-11-11,12.4,75.1
143,措备,2019-11-12,10.9,73.4
143,措备,2019-11-13,9.7,71.8
143,措备,2019-11-14,4.6,38.5
143,措备,2019-11-15,7,60.6
143,措备,2019-11-16,11.8,76
143,措备,2019-11-17,10.5,90.8
143,措备,2019-11-18,11,60.3
143,措备,2019-11-19,5.1,53.3
143,措备,2019-11-20,4.3,45.9
143,措备,2019-11-21,6,51.4
143,措备,2019-11-22,9.8,72.4
143,措备,2019-11-23,10.9,80
143,措备,2019-11-24,13.9,74.5
143,措备,2019-11-25,8.7,64.1
143,措备,2019-11-26,9.8,65.9
143,措备,2019-11-27,7.3,58.9
143,措备,2019-11-28,5.6,72.9
143,措备,2019-11-29,5.1,56.4
143,措备,2019-11-30,6,61.8
143,措备,2019-12-01,6.9,81.6
143,措备,2019-12-02,4.9,54.5
143,措备,2019-12-03,4,56.4
143,措备,2019-12-04,4.8,58.5
143,措备,2019-12-05,2,41
143,措备,2019-12-06,-1.4,31
143,措备,2019-12-07,2.4,47.9
143,措备,2019-12-08,2.6,58.1
143,措备,2019-12-09,2.5,65
143,措备,2019-12-10,4.9,72
143,措备,2019-12-11,7.2,64.5
143,措备,2019-12-12,3.2,37.5
143,措备,2019-12-13,2.3,42.6
143,措备,2019-12-14,4.5,48
143,措备,2019-12-15,5,62.3
143,措备,2019-12-16,6.3,72.5
143,措备,2019-12-17,9.1,75.3
143,措备,2019-12-18,7.4,51
143,措备,2019-12-19,4.1,34.5
143,措备,2019-12-20,2.4,48.3
143,措备,2019-12-21,.9,57.9
143,措备,2019-12-22,1.3,69.4
143,措备,2019-12-23,3.6,67.8
143,措备,2019-12-24,3.3,67.1
143,措备,2019-12-25,4.6,62.4
143,措备,2019-12-26,4.2,68.1
143,措备,2019-12-27,1.9,44.3
143,措备,2019-12-28,1.2,50.5
143,措备,2019-12-29,.6,71.6
143,措备,2019-12-30,5.2,78.8
143,措备,2019-12-31,-2.5,33
143,措备,2020-01-01,.2,53.3
143,措备,2020-01-02,3.4,57.9
143,措备,2020-01-03,3.6,54.3
143,措备,2020-01-04,2.7,55.4
143,措备,2020-01-05,2.2,53.6
143,措备,2020-01-06,1.4,84.3
143,措备,2020-01-07,7,97
143,措备,2020-01-08,7.9,64.5
143,措备,2020-01-09,3.2,54
143,措备,2020-01-10,2.2,59.1
143,措备,2020-01-11,3.3,50.4
143,措备,2020-01-12,2.7,51.1
143,措备,2020-01-13,2.1,48.1
143,措备,2020-01-14,1.6,42.3
143,措备,2020-01-15,.9,47
143,措备,2020-01-16,.3,47.4
143,措备,2020-01-17,1.4,51.8
143,措备,2020-01-18,3.1,44.1
143,措备,2020-01-19,3.2,49.4
143,措备,2020-01-20,4.6,44.1
143,措备,2020-01-21,1.9,36
