Model,MSE,RMSE,RMSLE,R2
월/일_SC,9.271956253051759,3.0449876493712056,0.4259885474270888,0.005677378177642823
월/시간_SC,9.270437240600586,3.0447336615528986,0.4261829545392549,0.005840271711349487
월/요일_SC,9.300183868408203,3.049612564451874,0.4263282266848269,0.002650266885757446
일/시간_SC,9.26606616973877,3.0440150150089402,0.42633716189562154,0.006309026479721069
일/요일_SC,9.262069988250733,3.0433586272609725,0.4266083469996384,0.006737565994262696
시간/요일_SC,9.270261001586913,3.044706930532437,0.4266786636812999,0.0058591365814208984
