Trial_Num,MSE,RMSE,RMSLE,R2,N_Layers,Init_Unit,LR,Min_Unit,Best_Epoch
0.0,9.150825500488281,3.0250331403950406,0.4410956648846856,0.018667399883270264,7.0,512.0,0.009314851991961259,16.0,27.0
1.0,9.100788116455078,3.016751252001908,0.4361429284199994,0.02403336763381958,3.0,512.0,6.536761014455586e-05,16.0,64.0
2.0,9.172426223754883,3.0286013642859775,0.43760902885466635,0.016350924968719482,5.0,1024.0,2.0241123783885656e-05,16.0,45.0
3.0,9.101503372192383,3.0168697970234617,0.4348903891704253,0.023956716060638428,7.0,256.0,0.0016352682625956668,32.0,69.0
4.0,9.10285472869873,3.017093755371008,0.43775474420609484,0.023811757564544678,5.0,64.0,3.041657116281939e-05,16.0,70.0
5.0,9.19554328918457,3.0324154216044628,0.43559961042478706,0.013871908187866211,6.0,1024.0,1.061787424040668e-05,16.0,54.0
6.0,9.111799240112305,3.018575697263911,0.4372981832138973,0.022852540016174316,3.0,512.0,0.0005750300455844345,32.0,40.0
7.0,9.102450370788574,3.01702674346592,0.4375950335419986,0.023855149745941162,5.0,128.0,0.0038744157403999752,16.0,44.0
8.0,9.109682083129883,3.01822498881874,0.4371458391213421,0.023079633712768555,3.0,256.0,1.3429845064255275e-05,16.0,55.0
9.0,9.104540824890137,3.0173731663302994,0.4362887065024285,0.023630976676940918,6.0,256.0,4.410099010903538e-05,16.0,118.0
10.0,9.100215911865234,3.0166564126305855,0.43552935783159685,0.024094760417938232,7.0,256.0,0.0006922972741380529,32.0,58.0
11.0,9.110099792480469,3.0182941858739465,0.4355011133350546,0.02303481101989746,7.0,256.0,0.0007902544399921629,32.0,45.0
12.0,9.102871894836426,3.017096600183101,0.4365225158272044,0.023809969425201416,7.0,256.0,0.0017630425964723303,32.0,51.0
13.0,9.13571548461914,3.0225346126420356,0.4374317218089857,0.020287752151489258,6.0,256.0,0.0001321927778022034,32.0,27.0
14.0,9.09559440612793,3.0158903173238794,0.43861964552604227,0.024590373039245605,7.0,128.0,0.0016271879917681986,32.0,62.0
15.0,9.104537010192871,3.01737253420801,0.4353049936626381,0.02363133430480957,4.0,64.0,0.00030241140431478504,32.0,28.0
16.0,9.104121208190918,3.0173036320846,0.43655550708781543,0.023676037788391113,4.0,64.0,0.0002000247356592635,32.0,27.0
17.0,9.105637550354004,3.0175548959967577,0.43639844773389724,0.023513317108154297,4.0,64.0,0.0002642484093635284,32.0,27.0
18.0,9.099266052246094,3.016498972691039,0.43719001414821534,0.02419668436050415,4.0,64.0,0.002216311529078062,32.0,71.0
19.0,9.137479782104492,3.0228264558364066,0.43522510702892325,0.020098626613616943,4.0,64.0,0.009438706981717898,32.0,27.0
20.0,9.247241020202637,3.040927657837759,0.444759795530797,0.008327841758728027,6.0,1024.0,0.007202407498584444,32.0,21.0
21.0,9.116569519042969,3.019365747809127,0.43342997920546095,0.02234095335006714,4.0,64.0,0.004358795793078086,32.0,39.0
22.0,9.098212242126465,3.0163242932626564,0.43711969331046036,0.024309635162353516,4.0,64.0,0.004128271134428388,32.0,80.0
23.0,9.098076820373535,3.0163018450369874,0.436958369403143,0.02432417869567871,5.0,64.0,0.0051575383949340955,32.0,52.0
24.0,9.106742858886719,3.0177380368227325,0.4361447733679513,0.02339482307434082,4.0,64.0,0.002892271704081258,32.0,44.0
25.0,9.107475280761719,3.0178593871752404,0.43342655841903455,0.023316264152526855,3.0,64.0,0.0010707957351907254,32.0,35.0
26.0,9.100295066833496,3.0166695322546513,0.4369601256534245,0.02408623695373535,3.0,128.0,0.0011894850015670424,32.0,58.0
27.0,9.097858428955078,3.0162656429689805,0.4358399435834281,0.024347543716430664,3.0,64.0,0.0011649850245912027,32.0,37.0
28.0,9.1007661819458,3.016747616547629,0.43623222861395067,0.02403569221496582,3.0,256.0,0.0024894016819469217,32.0,64.0
29.0,9.10641860961914,3.01768431245204,0.4353923609062566,0.02342963218688965,6.0,512.0,0.0005952764516862738,32.0,50.0
30.0,9.108915328979492,3.018097965437751,0.43871664428531665,0.02316182851791382,3.0,128.0,0.005771091821045884,32.0,36.0
31.0,9.12279224395752,3.020396040912105,0.43344871569742555,0.021673619747161865,4.0,64.0,0.009574529280663114,32.0,34.0
32.0,9.112831115722656,3.0187466133683127,0.4356664997950329,0.022741854190826416,5.0,64.0,0.003413012504864576,32.0,23.0
33.0,9.114532470703125,3.0190283984592003,0.43392988012173683,0.022559523582458496,4.0,64.0,0.008856863552458773,32.0,37.0
34.0,9.127912521362305,3.0212435389028647,0.440976448447667,0.021124601364135742,4.0,64.0,0.00916357032884675,32.0,34.0
35.0,9.105856895446777,3.017591240616724,0.43535012561121145,0.023489773273468018,4.0,64.0,0.006252982936130746,32.0,46.0
36.0,9.247214317321777,3.040923267253184,0.43646673393207236,0.00833064317703247,3.0,64.0,0.009269738094692772,16.0,27.0
37.0,9.264284133911133,3.0437286564198085,0.42991495181288414,0.006500184535980225,5.0,1024.0,0.004622599735712075,32.0,24.0
38.0,9.160055160522461,3.0265583028454053,0.4416495808709409,0.017677605152130127,5.0,1024.0,0.004642498941279232,16.0,26.0
39.0,9.107266426086426,3.017824783861122,0.43473159711714143,0.023338615894317627,5.0,1024.0,0.001136861467844467,32.0,59.0
40.0,9.102151870727539,3.016977273816881,0.43570595132787615,0.02388709783554077,5.0,1024.0,0.00046952093355272836,16.0,57.0
41.0,9.17636489868164,3.029251541005078,0.4389579696032166,0.015928566455841064,4.0,512.0,0.006459193997480223,32.0,27.0
42.0,9.166728019714355,3.0276604862028957,0.4311463818942544,0.016961991786956787,3.0,1024.0,0.004246254290386855,32.0,29.0
43.0,9.138073921203613,3.0229247296622543,0.43321367737668176,0.02003490924835205,3.0,1024.0,0.003269705859737773,32.0,32.0
44.0,9.105381965637207,3.0175125460612766,0.43806592918552684,0.023540735244750977,3.0,1024.0,0.001953996687501972,32.0,56.0
45.0,9.12317943572998,3.0204601364245782,0.435306414269315,0.02163219451904297,3.0,1024.0,0.0033657006369727234,32.0,31.0
46.0,9.1021728515625,3.0169807509433166,0.4366547730454395,0.023884892463684082,3.0,1024.0,0.002692620813046344,32.0,41.0
47.0,9.103798866271973,3.017250216053016,0.4359648883925549,0.023710548877716064,3.0,1024.0,0.0009395315608925031,16.0,48.0
48.0,9.104310989379883,3.0173350807260175,0.4370944323129061,0.023655593395233154,3.0,1024.0,0.001533041779133419,32.0,38.0
49.0,9.134221076965332,3.0222873915240642,0.44213852021390104,0.02044808864593506,3.0,1024.0,7.791815555878179e-05,32.0,29.0
