Model,MSE,RMSE,RMSLE,R2
Original,9.236595821380616,3.039172075213328,0.4260488669646093,0.0094693958759307
법규위반(도로형태2)_No_Scale,9.264217567443849,3.0437100487978315,0.4261139657417271,0.0065072536468505
법규위반(도로형태2)_MinMax,9.258525466918943,3.0427734100749464,0.4260177200767906,0.0071176648139953
법규위반(도로형태2)_ZScore,9.278167915344238,3.046005345613897,0.4259447892894556,0.0050112187862396
법규위반(도로형태2)_Robust,9.254770469665528,3.042154558136548,0.4259825498500148,0.0075203776359558
피해차종(도로형태2)_No_Scale,9.260868644714355,3.0431625723548703,0.425914043734715,0.0068663954734802
피해차종(도로형태2)_MinMax,9.243027114868164,3.04021925465666,0.4261179451006842,0.0087797164916992
피해차종(도로형태2)_ZScore,9.287996196746828,3.047615396773513,0.4259921074982351,0.0039572536945343
피해차종(도로형태2)_Robust,9.253246021270751,3.041902140171808,0.4263216076147506,0.0076838493347167
피해차종(동)_No_Scale,9.25117473602295,3.0415586014487905,0.4262699803264797,0.0079059779644012
피해차종(동)_MinMax,9.291650009155273,3.048201928732662,0.4261601502052758,0.0035654127597808
피해차종(동)_ZScore,9.244706153869627,3.040502741965695,0.4263677759163814,0.0085996508598327
피해차종(동)_Robust,9.25279893875122,3.0418317257894065,0.4265087450824339,0.0077317774295806
피해차종(시간)_No_Scale,9.243483638763427,3.040303849925927,0.4258572055754951,0.0087307631969451
피해차종(시간)_MinMax,9.241365718841552,3.0399503197625,0.4263781893696404,0.0089578926563262
피해차종(시간)_ZScore,9.234729099273682,3.038866345766409,0.4261103634864411,0.0096696197986602
피해차종(시간)_Robust,9.234062480926514,3.038753951813038,0.4262395699159207,0.0097410678863525
가해차종(도로형태1)_No_Scale,9.261149215698245,3.043209671785473,0.4259910956728826,0.006836324930191
가해차종(도로형태1)_MinMax,9.27574520111084,3.045598105105465,0.4258447894861162,0.005271029472351
가해차종(도로형태1)_ZScore,9.2586030960083,3.0427931645317883,0.4261291467311469,0.0071093380451202
가해차종(도로형태1)_Robust,9.255014419555664,3.042197329477424,0.4260673013673169,0.0074942052364349
가해차종(노면상태)_No_Scale,9.236396980285644,3.0391413835202528,0.4261400262853723,0.0094907462596893
가해차종(노면상태)_MinMax,9.237212562561036,3.0392706303936623,0.4260186278240978,0.0094032824039459
가해차종(노면상태)_ZScore,9.252023601531985,3.041709745066099,0.4262360809280595,0.0078149437904357
가해차종(노면상태)_Robust,9.249899196624757,3.0413569661989173,0.4261406793120462,0.0080427646636962
가해차종(동)_No_Scale,9.236571311950684,3.039166750549946,0.42634383492084,0.0094720244407653
가해차종(동)_MinMax,9.228157234191894,3.037785292052128,0.4261849061850024,0.0103743553161621
가해차종(동)_ZScore,9.233371162414551,3.038637247163094,0.4262381025570967,0.009815227985382
가해차종(동)_Robust,9.27034502029419,3.0447157973667367,0.4261113688749333,0.0058501601219177
피해성별(기상상태)_No_Scale,9.246548557281494,3.040806447877545,0.4259619829505106,0.0084021031856536
피해성별(기상상태)_MinMax,9.241064167022705,3.039906220726343,0.4262342450097086,0.0089902222156524
피해성별(기상상태)_ZScore,9.24883975982666,3.041170070367176,0.4263147721478909,0.0081563889980316
피해성별(기상상태)_Robust,9.253164386749267,3.041894209643394,0.4261577875947478,0.0076926171779632
피해성별(도로형태2)_No_Scale,9.242935848236083,3.040214799050807,0.4262320903613604,0.0087894856929779
피해성별(도로형태2)_MinMax,9.229165744781492,3.0379501225357406,0.4260640799376752,0.0102662146091461
피해성별(도로형태2)_ZScore,9.254116535186768,3.04205062999665,0.4261672414532033,0.0075904786586761
피해성별(도로형태2)_Robust,9.254128551483154,3.042049050535316,0.4259349077034201,0.0075891911983489
피해성별(동)_No_Scale,9.245076179504396,3.0405690308116027,0.4259659361416633,0.0085599899291992
피해성별(동)_MinMax,9.224499034881593,3.0371745160398613,0.4264560401025557,0.0107666552066802
피해성별(동)_ZScore,9.263376808166504,3.0435693415619705,0.4260788205138514,0.0065973997116088
피해성별(동)_Robust,9.23881664276123,3.039523468370901,0.4261049480894619,0.0092312455177307
가해성별(도로형태1)_No_Scale,9.258721,3.042806,0.426059,0.007097
가해성별(도로형태1)_MinMax,9.23399,3.038737,0.426061,0.009749
가해성별(도로형태1)_ZScore,9.247522,3.040969,0.426197,0.008298
가해성별(도로형태1)_Robust,9.255754,3.042317,0.425941,0.007415
가해성별(시간)_No_Scale,9.246802,3.040836,0.426402,0.008375
가해성별(시간)_MinMax,9.251683,3.041644,0.426136,0.007851
가해성별(시간)_ZScore,9.241903,3.040047,0.426208,0.0089
가해성별(시간)_Robust,9.25063,3.041479,0.426114,0.007964
피해연령(기상상태)_No_Scale,9.259473991394042,3.0429369319584314,0.4257240488827828,0.007015949487686158
피해연령(기상상태)_MinMax,9.273224353790283,3.045191547501332,0.4258830226585486,0.005541384220123291
피해연령(기상상태)_ZScore,9.25417184829712,3.0420612485137988,0.4260972692262153,0.007584571838378906
피해연령(기상상태)_Robust,9.259904766082764,3.0430016984013593,0.42619813458989714,0.006969761848449707
피해연령(도로형태2)_No_Scale,9.28813877105713,3.0476404532692154,0.42585467670714905,0.003941959142684937
피해연령(도로형태2)_MinMax,9.238300132751466,3.0394518010781892,0.4260832896927971,0.009286630153656005
피해연령(도로형태2)_ZScore,9.241254997253417,3.039933411825799,0.42605496484876915,0.008969777822494506
피해연령(도로형태2)_Robust,9.213558387756347,3.035379074615869,0.4267581151719712,0.011939942836761475
