Model,MSE,RMSE,RMSLE,R2
Original,9.24679946899414,3.0408503678891194,0.4255638925103408,0.008375191688537597
Trial 17,9.342357635498047,3.0565222123706164,0.42494596349606717,-0.0018724918365478516
Trial 47,9.351919555664063,3.05808749837704,0.424987148286278,-0.002897918224334717
Trial 46,9.354401779174804,3.0584937464796225,0.42509753990284926,-0.0031641006469726564
Trial 41,9.356110382080079,3.058774151009583,0.42511953161046073,-0.003347301483154297
Trial 38,9.38417911529541,3.0633552674781996,0.4251283755652828,-0.006357407569885254
